ensembl_gene_id;gene_symbol
ENSRNOG00000021259;Prnp
ENSRNOG00000054391;Snurf
ENSRNOG00000020442;Ubl5
ENSRNOG00000020644;Nsg2
ENSRNOG00000023150;Gpi
ENSRNOG00000002632;Naca
ENSRNOG00000055319;Mrfap1
ENSRNOG00000023385;Rpl37a
ENSRNOG00000023529;Rpl5
ENSRNOG00000059720;Syp
ENSRNOG00000001182;Ndufv3
ENSRNOG00000011751;Ncdn
ENSRNOG00000046005;Scd2
ENSRNOG00000000505;Rpl10a
ENSRNOG00000016727;Akr1a1
ENSRNOG00000003520;Prdx2
ENSRNOG00000061231;Selenom
ENSRNOG00000010731;Gpm6a
ENSRNOG00000005345;Vsnl1
ENSRNOG00000005668;Ndufa8
ENSRNOG00000021035;Rpl18
ENSRNOG00000013508;Rpl31
ENSRNOG00000014415;Hsbp1
ENSRNOG00000016414;Slc22a17
ENSRNOG00000008921;Dynll2
ENSRNOG00000058359;Fkbp8
ENSRNOG00000011905;Atp6v1e1
ENSRNOG00000021202;Rtn3
ENSRNOG00000014625;Atp5f1d
ENSRNOG00000016271;Itm2b
ENSRNOG00000012550;Uqcrh
ENSRNOG00000008289;Slc25a3
ENSRNOG00000024923;Nnat
ENSRNOG00000001991;Atp5po
ENSRNOG00000018816;Cox5a
ENSRNOG00000049219;Rnf187
ENSRNOG00000021153;Fkbp2
ENSRNOG00000000957;Rpl21
ENSRNOG00000051624;Hspe1
ENSRNOG00000030963;LOC108351137
ENSRNOG00000003029;Calr
ENSRNOG00000010235;Pkig
ENSRNOG00000058249;Pgk1
ENSRNOG00000008656;Snca
ENSRNOG00000000622;Hint1
ENSRNOG00000003670;Sumo2
ENSRNOG00000018850;Ttc9b
ENSRNOG00000017235;Atp6v0d1
ENSRNOG00000013009;Ldha
ENSRNOG00000000473;Pfdn6
ENSRNOG00000043098;Mt2A
ENSRNOG00000032204;Uqcrb
ENSRNOG00000025909;Uqcc2
ENSRNOG00000003975;Pfn1
ENSRNOG00000046996;Pea15
ENSRNOG00000028822;Bex3
ENSRNOG00000017417;Gabarap
ENSRNOG00000028717;Ndufb7
ENSRNOG00000018289;Park7
ENSRNOG00000037566;RGD1560398
ENSRNOG00000003147;Sqstm1
ENSRNOG00000013562;Ndfip1
ENSRNOG00000012383;Ndufc2
ENSRNOG00000029941;Grina
ENSRNOG00000016398;Clstn1
ENSRNOG00000005299;Kif5a
ENSRNOG00000010331;Ctsb
ENSRNOG00000019453;Rps5
ENSRNOG00000017209;Tubb3
ENSRNOG00000033765;Eif1
ENSRNOG00000004621;Rtn4
ENSRNOG00000002693;Nme1
ENSRNOG00000015865;Ap2s1
ENSRNOG00000017506;Cltb
ENSRNOG00000000060;Cplx1
ENSRNOG00000029707;Mt-nd4
ENSRNOG00000008605;Ost4
ENSRNOG00000008569;Ndufa6
ENSRNOG00000018708;Ppp1ca
ENSRNOG00000042696;Micos10
ENSRNOG00000019895;Nedd8
ENSRNOG00000013386;Psmb5
ENSRNOG00000009140;C1qtnf4
ENSRNOG00000019682;Timm13
ENSRNOG00000007806;Arf5
ENSRNOG00000020451;Cd81
ENSRNOG00000019223;Atp5f1c
ENSRNOG00000033835;Dnm1
ENSRNOG00000020474;Pin1
ENSRNOG00000020247;Cnih2
ENSRNOG00000005698;Ndufa5
ENSRNOG00000031022;Rpl36a
ENSRNOG00000009080;Atp6v1d
ENSRNOG00000011946;Ptn
ENSRNOG00000046889;Dbi
ENSRNOG00000001030;Tsc22d1
ENSRNOG00000011494;Rpl36al
ENSRNOG00000053334;Stmn4
ENSRNOG00000058914;Rbx1
ENSRNOG00000020075;Eef1g
ENSRNOG00000050630;AABR07070043.1
ENSRNOG00000001420;Fis1
ENSRNOG00000003542;AABR07029198.1
ENSRNOG00000032803;Rpl21
ENSRNOG00000021125;Prdx5
ENSRNOG00000016912;Btf3
ENSRNOG00000019655;Atp6v0b
ENSRNOG00000019570;Gng3
ENSRNOG00000014568;Ndufb10
ENSRNOG00000011891;Atp6v1b2
ENSRNOG00000001068;Rac1
ENSRNOG00000028404;Ppp1r1b
ENSRNOG00000010945;Ywhab
ENSRNOG00000001551;Atp5pf
ENSRNOG00000037897;Rps19
ENSRNOG00000056870;Gdi1
ENSRNOG00000012840;Sparc
ENSRNOG00000022860;Swi5
ENSRNOG00000006865;Laptm4a
ENSRNOG00000047988;Bola2
ENSRNOG00000001409;Gnb2
ENSRNOG00000001440;Mdh2
ENSRNOG00000011732;Psmb7
ENSRNOG00000039980;Slc25a5
ENSRNOG00000051650;Ywhaq
