"geneID","gene.name","mean.log2.pfkm","fdr.hemisphere","fdr.treatment","fdr.interaction"
"ENSRNOG00000009205","Lmo4",7.67680883589334,0.823515469547758,0.972623405287005,0.999999999999993
"ENSRNOG00000009206","Fezf2",4.84447354750944,0.840056427381812,0.878572829458824,0.999999999999993
"ENSRNOG00000009207","Spata2",3.61353448663331,0.823515469547758,0.699773369267165,0.999999999999993
"ENSRNOG00000009208","Pibf1",2.11282122141564,0.875398161333436,0.741222118548367,0.999999999999993
"ENSRNOG00000009209","Slitrk1",4.53046934209608,0.831002899883691,0.583756563901703,0.999999999999993
"ENSRNOG00000009211","C3ar1",0.454874470944483,NA,NA,NA
"ENSRNOG00000009217","Fbxo6",5.63591373670485,0.823515469547758,0.61708562478308,0.999999999999993
"ENSRNOG00000009218","Prdm12",0.658050076756618,NA,NA,NA
"ENSRNOG00000009219","Hepacam",4.851617519336,0.823515469547758,0.821615075670368,0.999999999999993
"ENSRNOG00000009220","Tmem17",3.15999510541384,0.823515469547758,0.588935262334444,0.999999999999993
"ENSRNOG00000009221","Cdcp2",0.0637190920420686,NA,NA,NA
"ENSRNOG00000009222","Epha2",0.533533103868872,NA,NA,NA
"ENSRNOG00000009224","E4f1",2.78105632740133,0.977738417317393,0.483928243132471,0.999999999999993
"ENSRNOG00000009225","Copz2",3.04327187354584,0.829860759123922,0.627858539954249,0.999999999999993
"ENSRNOG00000009226","Crygn",0.213986198920045,NA,NA,NA
"ENSRNOG00000009227","Aplnr",0.815776027775205,NA,NA,NA
"ENSRNOG00000009233","Ankrd49",3.28163055311352,0.90041824005114,0.722881694860647,0.999999999999993
"ENSRNOG00000009236","Necap1",6.55640522770271,0.874681984092285,0.567244396776316,0.999999999999993
"ENSRNOG00000009239","Entpd8",0.00922159544353145,NA,NA,NA
"ENSRNOG00000009240","AABR07016623.1",0.234068382346748,NA,NA,NA
"ENSRNOG00000009241","RGD1560291",0,NA,NA,NA
"ENSRNOG00000009243","Oaf",5.34779572053391,0.829249643829169,0.613762163416556,0.999999999999993
"ENSRNOG00000009244","Abhd4",5.45513801199511,0.823515469547758,0.897859921054634,0.999999999999993
"ENSRNOG00000009245","Exosc2",4.2060849258764,0.85307842984149,0.857800694006955,0.999999999999993
"ENSRNOG00000009248","Pnrc2",5.14083059634544,0.823515469547758,0.568157240069595,0.999999999999993
"ENSRNOG00000009250","Pts",3.4921892834214,0.823515469547758,0.768586055188283,0.999999999999993
"ENSRNOG00000009252","Poldip2",6.21640973844217,0.907747381185725,0.99352340056226,0.999999999999993
"ENSRNOG00000009253","Igsf9b",0.387493296962378,NA,NA,NA
"ENSRNOG00000009255","Timm29",5.25512692315438,0.910559772308485,0.489538002691429,0.999999999999993
"ENSRNOG00000009256","Gkn2",0.918173350768306,NA,NA,NA
"ENSRNOG00000009258","Cdk6",0.215327294939305,NA,NA,NA
"ENSRNOG00000009260","Cnr2",0.464737155656731,NA,NA,NA
"ENSRNOG00000009263","Ifi27",7.70851656525069,0.823515469547758,0.74479260959065,0.999999999999993
"ENSRNOG00000009264","Erc1",2.36772053455342,0.823515469547758,0.888522980957708,0.999999999999993
"ENSRNOG00000009265","Kcnk9",1.40613105495649,0.823515469547758,0.628980243649836,0.999999999999993
"ENSRNOG00000009266","Anp32b",6.48602354417764,0.962712456317011,0.594533645631648,0.999999999999993
"ENSRNOG00000009267","B3gnt2",3.64532888650519,0.973575691285979,0.714903534687826,0.999999999999993
"ENSRNOG00000009269","Cga",0.287768484700385,NA,NA,NA
"ENSRNOG00000009271","Smarca4",4.64779568771984,0.823515469547758,0.912256757096134,0.999999999999993
"ENSRNOG00000009273","LOC259244",0.0115610685607066,NA,NA,NA
"ENSRNOG00000009274","Fut11",2.18964749310992,0.823515469547758,0.994332111459867,0.999999999999993
"ENSRNOG00000009275","Kpnb1",4.72994737283788,0.823515469547758,0.683136322658409,0.999999999999993
"ENSRNOG00000009276","Schip1",6.2926687758742,0.848239531813034,0.97456537014734,0.999999999999993
"ENSRNOG00000009278","Ift88",2.39804839252402,0.823515469547758,0.675774711898422,0.999999999999993
"ENSRNOG00000009280","Mkrn1",5.0641631995686,0.823515469547758,0.768059175205986,0.999999999999993
"ENSRNOG00000009281","Commd1",6.21755027300232,0.823875025564177,0.696048722134963,0.999999999999993
"ENSRNOG00000009282","Nub1",5.51356803084957,0.823515469547758,0.529124625013753,0.999999999999993
